33,Samples,,
3,Markers,,
,Q,Q,Q
,C18:3n3,C18:2n6t,C18:2n6c
GL_setup,0.242512077,0.25801882,2.49030256
PJ_setup,0,0.178083578,0.610179782
PP_setup,0,0.19730851,1.280062064
GL_H1,0.021256039,0.105231205,0.607144062
PJ_H1,0,0.207426895,0.529227241
PP_H1,0.050241546,0.235758373,1.817384558
GL_C_H2,0,0.160882323,0.404762708
PJ_C_H2,0,0.19730851,0.710358552
PP_C_H2,0,0.303551553,2.416433366
GL_C_H3,0.028985507,0.202367702,0.992680541
PJ_C_H3,0,0.263078013,2.436671501
PP_C_H3,0,0.087018112,0.368334064
GL_C_H4,0,0.140645553,0.556548723
PJ_C_H4,0,0.184154609,1.310419267
PP_C_H4,0.003864734,0.186178286,0.769049145
GL_P_H2,0.075362319,0.16998887,0.98357338
PJ_P_H2,0,0.198320348,0.604108341
PP_P_H2,0.076328502,0.234746534,1.349883631
GL_P_H3,0.019323671,0.222604472,0.827739738
PJ_P_H3,0.002898551,0.184154609,0.700239485
PP_P_H3,0,0.218557118,1.147502277
GL_P_H4,0.024154589,0.19730851,1.000775795
PJ_P_H4,0,0.180107255,0.39160792
PP_P_H4,0,0.234746534,2.141194725
GL_M_H2,0,0.094100981,0.247917159
GL_M_H3,0.014492754,0.175048062,0.347084022
GL_M_H4,0,0.097136497,0.26613148
PJ_M_H2,0,0.103207528,0.281310082
PJ_M_H3,0,0.104219367,0.29446487
PJ_M_H4,0,0.094100981,0.293452963
PP_M_H2,0,0.120408783,0.72047762
PP_M_H3,0,0.097136497,0.29142915
PP_M_H4,0,0.093089143,0.247917159
