#SampleID	BarcodeSequence	LinkerPrimerSequence	run_prefix	BarcodeName	Ecosystem	Time	Description
PPset			PPset	ITS1F-Bt1	PP	0	PPset
PJset			PJset	ITS1F-Bt2	PJ	0	PJset
GLset			GLset	ITS1F-Bt3	GL	0	GLset
PPH1			PPH1	ITS1F-Bt4	PP	1	PPH1
PJH1			PJH1	ITS1F-Bt5	PJ	1	PJH1
GLH1			GLH1	ITS1F-Bt6	GL	1	GLH1
GLCH2			GLCH2	ITS1F-Bt7	GL	2	GLCH2
PJCH2			PJCH2	ITS1F-Bt8	PJ	2	PJCH2
PPCH2			PPCH2	ITS1F-Bt9	PP	2	PPCH2
GLCH3			GLCH3	ITS1F-Bt10	GL	3	GLCH3
PJCH3			PJCH3	ITS1F-Bt11	PJ	3	PJCH3
PPCH3			PPCH3	ITS1F-Bt12	PP	3	PPCH3
GLCH4			GLCH4	ITS1F-Bt13	GL	4	GLCH4
PJCH4			PJCH4	ITS1F-Bt14	PJ	4	PJCH4
PPCH4			PPCH4	ITS1F-Bt15	PP	4	PPCH4
