Site,Plot #,Treatment,Harvest date,harvest time,mesh?,date into oven,tin weight,tin weight + soil into oven,soil + tin out of oven,wt of soil for extraction,wet soil,dry soil,dry:wet,dry emh soil,intersections,external hyphae (g/m),Small,Large,Non,small m/g,large m/g,non am m/g
PP,15,,Setup,0,n,6.13.13,2.473,6.198,5.946,3.004,3.725,3.473,0.9323489933,2.8007763758,233,5.7193962853,160,73,149,3.9274824277,1.7919138576,3.6574680108
PP,3,,Setup,0,n,6.13.13,2.498,6.156,5.922,3,3.658,3.424,0.9360306178,2.8080918535,186,4.5538040304,143,43,104,3.5010428836,1.0527611468,2.5462130062
PP,6,,Setup,0,n,6.13.13,2.537,6.782,6.469,3.004,4.245,3.932,0.9262661955,2.7825036514,230,5.6828317161,207,23,73,5.1145485445,0.5682831716,1.8036813708
PP,1,,Setup,0,n,6.13.13,2.648,6.841,6.657,3.003,4.193,4.009,0.9561173384,2.8712203673,146,3.4959002501,108,38,35,2.5860084042,0.9098918459,0.8380582791
PP,24,,Setup,0,n,6.17.13,2.451,6.219,5.951,3,3.768,3.5,0.9288747346,2.7866242038,85,2.0970714286,65,20,59,1.6036428571,0.4934285714,1.4556142857
PP,20,,Setup,0,n,6.18.13,2.465,6.325,6.024,3.006,3.86,3.559,0.9220207254,2.7715943005,151,3.7455878727,65,86,176,1.6123391505,2.1332487222,4.3657183152
PP,16,,Setup,0,n,6.17.13,2.496,7.388,7.093,3.003,4.892,4.597,0.9396974652,2.8219114881,192,4.6776803792,103,89,121,2.5093806201,2.1682997591,2.9479131557
PP,27,,Setup,0,n,6.17.13,2.473,6.313,6.043,3.006,3.84,3.57,0.9296875,2.794640625,276,6.789781781,152,124,106,3.7393001113,3.0504816697,2.6076698144
GL,25,C,H1,35,n,6.17.13,2.463,6.253,6.092,3.007,3.79,3.629,0.9575197889,2.8792620053,111,2.6504187483,74,37,39,1.7669458322,0.8834729161,0.9312282089
GL,26,C,H1,35,n,6.17.13,2.455,6.816,6.65,3.004,4.361,4.195,0.9619353359,2.8896537491,69,1.6416326701,48,21,6,1.1420053358,0.4996273344,0.142750667
GL,27,C,H1,35,n,6.17.13,2.517,7.423,7.199,3.002,4.906,4.682,0.9543416225,2.8649335508,47,1.1278621102,28,19,38,0.6719178529,0.4559442573,0.9118885146
