OTUs	PJset	GLCH4	GLH1	GLset	PJCH3	GLCH2	GLCH3	PJCH4	PPCH4	PPCH2	PPH1	PPset	PJH1	PJCH2
SH222848.06FU_JQ889274_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
SH215221.06FU_HM240224_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
SH209197.06FU_HQ445048_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
SH195205.06FU_KC461525_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH204485.06FU_FR750186_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SH224843.06FU_KC460798_reps	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH212236.06FU_KC790403_reps	0.0	0.0	0.0	0.0	3.0	0.0	0.0	64.0	11.0	24.0	2.0	0.0	12.0	16.0
SH240384.06FU_JF728235_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
SH210966.06FU_EF652472_reps	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH212842.06FU_JX489815_reps	0.0	0.0	0.0	5.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH094605.06FU_GU237797_refs	0.0	1.0	0.0	63.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0
SH209287.06FU_DQ093756_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0
SH215371.06FU_GQ405563_reps	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH234968.06FU_JQ070456_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
SH209279.06FU_EF434019_reps	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0
SH233468.06FU_FJ552744_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0
SH190472.06FU_AY510418_reps	6.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
SH232445.06FU_FJ613821_reps	0.0	0.0	4.0	1.0	0.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH087290.06FU_AJ486957_refs	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH211314.06FU_AB709852_reps	11.0	0.0	0.0	0.0	15.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	27.0	9.0
SH211074.06FU_JX975925_reps	18.0	3.0	1.0	1.0	38.0	3.0	4.0	0.0	0.0	1.0	0.0	1.0	2.0	10.0
SH196178.06FU_JN835195_reps	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	1.0	1.0	0.0	1.0
SH224903.06FU_KC584240_reps	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH227685.06FU_JX630575_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	34.0	2.0	0.0	0.0
SH190664.06FU_DQ421233_reps	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH217981.06FU_EF619718_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0
SH190481.06FU_EU480226_reps	1.0	2.0	0.0	0.0	4.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH227211.06FU_JX984794_reps	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH216431.06FU_FJ000366_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0
SH223427.06FU_HM162129_reps	1.0	0.0	1.0	0.0	3.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
SH198252.06FU_JN053479_reps	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH209046.06FU_AY487952_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0
SH204175.06FU_KC818301_reps	68.0	0.0	0.0	0.0	104.0	0.0	0.0	35.0	422.0	234.0	149.0	238.0	30.0	89.0
SH240603.06FU_FN396570_reps	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH217775.06FU_JQ247339_reps	1.0	5.0	15.0	1.0	19.0	3.0	7.0	25.0	0.0	0.0	0.0	0.0	1.0	0.0
SH210023.06FU_JN195649_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SH197114.06FU_AF444407_refs	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH219350.06FU_HQ630377_reps	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	14.0	48.0	13.0	7.0	0.0	0.0
SH194383.06FU_DQ420916_reps	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	1.0	3.0	0.0	3.0	0.0	0.0
SH199979.06FU_KF251188_reps	114.0	4.0	1.0	0.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0
SH197113.06FU_EU266559_reps	6.0	73.0	8.0	1.0	0.0	5.0	20.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
SH211064.06FU_KC008765_reps	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH237297.06FU_JX316376_reps	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	3.0	0.0	1.0	0.0
SH210326.06FU_JN899379_refs	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SH235994.06FU_EF159236_reps	75.0	95.0	42.0	36.0	29.0	182.0	24.0	1.0	2.0	1.0	0.0	2.0	0.0	16.0
