pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14
GLCH4	-0.349013947442	0.19928042136	0.0964733273807	0.0205072583175	0.0479108031218	0.122662625218	-0.00913427797353	0.116135091241	0.176693025766	0.0246453150124	-0.143976465546	-0.23250407748	-0.0171523390906	-3.48389285811e-10
PPset	0.417403647667	0.16923468556	-0.0113831032496	-0.0824747391272	-0.0310172583174	0.146481426613	0.0184619967293	-0.261036439786	-0.00159535738658	0.0833271566569	0.182620805944	-0.146379315285	0.0274918537374	-3.48389285811e-10
GLCH3	-0.348859294308	0.146878688958	0.0599156805333	-0.0395494287306	-0.0591453444878	0.0385764965245	-0.146644459136	0.0779224146943	0.212959458271	0.0173925061616	0.202906257153	0.170841737977	0.032068943245	-3.48389285811e-10
PJset	-0.103627650541	-0.207868098288	-0.0228457325217	-0.288476760742	-0.192571329658	0.141974312129	0.164213757733	0.189779953873	-0.144304953343	0.154251381601	-0.0021878242693	0.0203543907744	0.0128768626683	-3.48389285811e-10
GLH1	-0.282065903996	0.150150493086	0.294138383546	-0.235087971108	0.0205860074791	-0.25206911851	-0.0555896137455	-0.166422255516	-0.141795521913	-0.0336504863548	-0.0578923068616	0.0139859650611	-0.0182764355601	-3.48389285811e-10
GLCH2	-0.30177363528	0.182044878723	0.0181897308939	0.275423471828	0.251155822553	0.145434192802	0.167821297049	-0.000892116500209	-0.202246189807	0.00494602580511	0.0515050453296	0.0708432775549	0.00031094012971	-3.48389285811e-10
PPH1	0.424372421859	0.11405384536	-0.000888486703234	0.0469083228064	0.0586331791469	-0.233654608622	-0.00387642975703	0.260812714939	-0.0382698420005	-0.0148302284614	0.112156822825	-0.0612883030347	-0.158598451454	-3.48389285811e-10
PPCH4	0.451387508936	0.197519389592	0.00957208987289	0.00907450065356	0.0284059231303	-0.0534392352857	-0.0046285189284	0.107206211912	0.00178647220114	-0.0470936045601	-0.106722938239	0.0550462772094	0.267124468969	-3.48389285811e-10
PPCH2	0.377247545484	0.119470052992	0.0109017931426	-0.016541584686	-0.0328759284431	0.172166923562	-0.0140511081752	-0.0884163891353	0.0745376468159	-0.000840000702267	-0.181315616208	0.171278677352	-0.175216373037	-3.48389285811e-10
GLset	-0.280449961265	0.196313997753	-0.439074158224	0.0841398912878	-0.219266265028	-0.145792745412	-0.040324178164	-0.0804089072941	-0.0522704149517	-0.00716380905665	-0.0499160577678	-0.0149656398072	-0.00748515884226	-3.48389285811e-10
PJH1	0.0441357240206	-0.383944588995	0.0668266887953	0.232119036527	0.0243116339198	-0.0622782065644	-0.227044221037	-0.0405824510408	-0.0304737495908	0.258764526171	-0.0442316534805	-0.00642303906324	0.0222856644673	-3.48389285811e-10
PJCH2	-0.00349853347112	-0.285765507223	0.118397008791	0.170337375306	-0.152526665711	-0.143671828146	0.315484010709	-0.0929711657035	0.163768958335	-0.0757774563877	0.0132626535805	0.00597606600316	0.0110821004443	-3.48389285811e-10
PJCH3	0.00196323154554	-0.283318881325	0.0452885724954	0.0519148754526	-0.114191446758	0.165738076113	-0.182930479551	0.0270135968169	-0.115250920154	-0.307832290338	0.0284063577863	-0.0522313133919	-0.00106147534252	-3.48389285811e-10
PJCH4	-0.04722115321	-0.314049377554	-0.245511794753	-0.228294247785	0.370590869054	-0.0421283104218	0.0182422242478	-0.0481402585002	0.0964613877577	-0.0561390355473	-0.00461508024572	0.00546529612935	0.00454939966516	-3.48389285811e-10


eigvals	1.20811095939	0.701627509909	0.374204883203	0.370473441082	0.334978420908	0.304949000109	0.266884730175	0.258550165193	0.218500436687	0.205906995204	0.163556067285	0.14948228061	0.130485403519	-1.69925132256e-18
% variation explained	25.7718776078	14.9673820696	7.98267938486	7.90307885735	7.14588572995	6.50528682515	5.69328549501	5.51548941844	4.66113353891	4.39248550619	3.48903957481	3.18881226138	2.7835637306	3.6249068655e-17
