# Constructed from biom file
#OTU ID	PJCH3	PJset	PPCH2	PPCH4	GLCH4	PJCH4	PPset	PPH1	GLCH2	PJCH2	GLset	PJH1	GLH1	GLCH3
SH255286.06FU_GU237732_refs	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	135.0	0.0	0.0	0.0
SH202168.06FU_AM262354_reps	15.0	4.0	3.0	1.0	86.0	20.0	1.0	1.0	32.0	21.0	334.0	1.0	22.0	22.0
SH217313.06FU_EU480242_reps	47.0	7.0	3.0	0.0	2.0	3.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0
SH195806.06FU_HQ895803_reps	2.0	2.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	1.0	0.0	10.0	0.0	0.0
SH210012.06FU_HF970313_reps	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
SH209335.06FU_FN397280_reps	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	4.0	7.0
SH217302.06FU_AY677290_refs	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
SH197547.06FU_HE579319_reps	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	23.0	0.0	2.0	0.0	1.0	5.0
SH263261.06FU_GU237761_refs	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	17.0	0.0	16.0	0.0	3.0	12.0
SH217361.06FU_JX480547_reps	87.0	13.0	9.0	1.0	4.0	13.0	4.0	2.0	1.0	4.0	0.0	0.0	4.0	4.0
SH202152.06FU_HE585010_reps	29.0	8.0	0.0	0.0	58.0	10.0	0.0	0.0	44.0	2.0	43.0	7.0	23.0	21.0
SH263197.06FU_FJ426983_refs	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	5.0
SH196750.06FU_EF679363_refs	0.0	6.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH240716.06FU_JX984797_reps	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	10.0	0.0
SH233954.06FU_HQ882800_reps	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH213190.06FU_AF037431_refs	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0
SH230612.06FU_EF159518_reps	14.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH229315.06FU_FJ708614_reps	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH196195.06FU_HE584834_reps	0.0	0.0	14.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH233956.06FU_AM262377_reps	0.0	59.0	9.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH234919.06FU_AB625592_refs	17.0	1.0	14.0	2.0	0.0	1.0	4.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0
SH234937.06FU_HQ871776_reps	55.0	2.0	7.0	4.0	36.0	17.0	2.0	2.0	16.0	11.0	2.0	36.0	18.0	53.0
SH253769.06FU_DQ780379_refs	24.0	93.0	8.0	2.0	0.0	29.0	18.0	1.0	0.0	8.0	0.0	4.0	0.0	0.0
SH236520.06FU_KF212299_reps	35.0	90.0	1.0	0.0	4.0	10.0	3.0	1.0	1.0	36.0	0.0	7.0	4.0	2.0
SH195164.06FU_KC341719_reps	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0
SH223423.06FU_HM162212_reps	0.0	2.0	0.0	1.0	0.0	0.0	0.0	8.0	0.0	43.0	0.0	25.0	0.0	0.0
SH241083.06FU_JQ247384_reps	4.0	0.0	0.0	0.0	18.0	3.0	0.0	0.0	1.0	7.0	0.0	0.0	3.0	0.0
SH219002.06FU_KF385283_reps	20.0	51.0	5.0	0.0	0.0	5.0	3.0	1.0	0.0	28.0	0.0	21.0	0.0	0.0
SH224844.06FU_GU062277_reps	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0
SH202145.06FU_GU237760_refs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	16.0	1.0	0.0	0.0
SH235610.06FU_HQ115714_reps	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0
SH233679.06FU_JN168963_reps	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0
SH194389.06FU_FN392315_reps	24.0	0.0	2.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH234981.06FU_JF440592_reps	6.0	12.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0
SH231205.06FU_KC295593_reps	1.0	0.0	0.0	1.0	10.0	1.0	0.0	0.0	25.0	10.0	2.0	0.0	1.0	2.0
SH228963.06FU_AB099511_reps	11.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH207404.06FU_JQ758572_reps	41.0	11.0	7.0	0.0	0.0	2.0	3.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
SH223096.06FU_AY843135_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0
SH212098.06FU_DQ420917_reps	0.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	1.0
SH224308.06FU_FR668017_reps	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	3.0
SH212236.06FU_KC790403_reps	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH239989.06FU_FJ552903_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
SH230453.06FU_FR863589_reps	25.0	48.0	0.0	0.0	6.0	12.0	1.0	3.0	4.0	10.0	2.0	5.0	5.0	1.0
SH206633.06FU_FJ150872_refs	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
SH194667.06FU_HQ602665_reps	40.0	52.0	14.0	19.0	12.0	0.0	39.0	1.0	3.0	4.0	6.0	0.0	244.0	4.0
SH189785.06FU_KC753434_reps	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH198661.06FU_AY172070_reps	17.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
SH236882.06FU_KC485449_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
PG0002	3.0	0.0	20.0	5.0	0.0	0.0	7.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
SH217399.06FU_JF300412_reps	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SH235994.06FU_EF159236_reps	7.0	8.0	1.0	0.0	15.0	0.0	1.0	0.0	43.0	4.0	7.0	0.0	9.0	5.0
SH223600.06FU_EU479934_reps	1.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	8.0	1.0	10.0	0.0	5.0	8.0
SH209207.06FU_HM239797_reps	91.0	27.0	48.0	60.0	2.0	0.0	63.0	19.0	0.0	18.0	0.0	12.0	0.0	0.0
SH196683.06FU_EU480228_reps	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH241308.06FU_AM901790_reps	2.0	11.0	0.0	0.0	5.0	2.0	1.0	1.0	0.0	5.0	0.0	1.0	2.0	0.0
SH209264.06FU_HE977523_reps	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	12.0
SH209208.06FU_JN859270_refs	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
SH191099.06FU_AY188359_reps	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH222757.06FU_AB297720_reps	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SH230210.06FU_JF747083_reps	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SH223808.06FU_EU144767_reps	73.0	30.0	2.0	0.0	3.0	2.0	0.0	0.0	1.0	7.0	0.0	2.0	26.0	27.0
