Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
Unclassified;Other;Other	0.0125633678642	0.0313090418354	0.0276391199852	0.0188280837586	0.00336260041098	0.155117425341	0.0309154876862	0.0105060034305	0.0427480916031	0.01945376138	0.00500658761528	0.00221838797141	0.00239808153477	0.000993245927692
k__Fungi;Other;Other	0.00749393872603	0.0221322537112	0.0240340173784	0.00563082878761	0.00765925649169	0.00898811249638	0.0389999251441	0.00750428816467	0.0232061068702	0.0307139434595	0.101712779974	0.0268671432093	0.0110911270983	0.090782677791
k__Fungi;p__Ascomycota;Other	0.0138858276394	0.0151147098516	0.0616564984285	0.0121414745733	0.010087801233	0.01768628588	0.0329365970507	0.0152229845626	0.0204580152672	0.044226161955	0.0297760210804	0.0384520581711	0.00629496402878	0.148788239968
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.344500771435	0.403778677463	0.512386762803	0.349463311631	0.415281150757	0.172513772108	0.272924620106	0.678602058319	0.120916030534	0.380402491615	0.256653491436	0.23835346315	0.118105515588	0.210369487485
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.0224818161781	0.0669365721997	0.0342946940285	0.0362484603203	0.0162525686531	0.115395766889	0.0928961748634	0.0690394511149	0.202748091603	0.0633924293244	0.11884057971	0.124229726399	0.16876498801	0.093365117203
k__Fungi;p__Ascomycota;c__Incertae_sedis	0.00154286973771	0.00782726045884	0.000462192641893	0.000527890198839	0.0106482346348	0.0063786604813	0.0125757916012	0.0098627787307	0.00763358778626	0.0109247724006	0.00395256916996	0.00739462657136	0.0044964028777	0.00158919348431
k__Fungi;p__Ascomycota;c__Lecanoromycetes	0.0	0.00188933873144	9.24385283786e-05	0.0	0.000560433401831	0.000579878225573	0.000673703121491	0.0	0.00213740458015	0.00110206037374	0.00131752305665	0.0	0.0	0.002582439412
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.0	0.0318488529015	0.0214457385838	0.00246348759458	0.435643564356	0.0611771527979	0.014671756868	0.0115780445969	0.0253435114504	0.046382367034	0.0495388669302	0.0377125955139	0.023381294964	0.0667461263409
k__Fungi;p__Ascomycota;c__Orbiliomycetes	0.00022040996253	0.000539811066127	0.000739508227029	0.0	0.000186811133944	0.00318933024065	0.00359308331462	0.00707547169811	0.0131297709924	0.00651653090561	0.0118577075099	0.000246487552379	0.0	0.00158919348431
k__Fungi;p__Ascomycota;c__Pezizomycetes	0.0176327970024	0.00539811066127	0.00286559437974	0.00457504838993	0.00336260041098	0.0130472600754	0.11692491953	0.0289451114923	0.0506870229008	0.0136080498323	0.0384716732543	0.025388217895	0.0158872901679	0.0162892332141
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.000661229887591	0.0	0.0	0.000703853598452	0.0	0.0	0.00142226214537	0.00192967409949	0.0	0.000479156684236	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.098082433326	0.285290148448	0.164540580514	0.067745908851	0.0480104614235	0.14149028704	0.179055318512	0.0951972555746	0.259236641221	0.115141351222	0.144400527009	0.0714813901898	0.0836330935252	0.0975367500993
k__Fungi;p__Ascomycota;c__unidentified	0.00528983910073	0.00134952766532	0.00378997966352	0.00228752419497	0.000934055669718	0.00376920846622	0.00284452429074	0.000214408233276	0.000610687022901	0.00651653090561	0.00579710144928	0.000492975104757	0.0104916067146	0.00337703615415
k__Fungi;p__Basidiomycota;Other	0.00154286973771	0.00161943319838	0.00268071732298	0.000351926799226	0.00317578927704	0.00231951290229	0.00104798263343	0.00171526586621	0.000610687022901	0.00273119310014	0.0	0.0	0.00269784172662	0.0
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.374917346264	0.0369770580297	0.0294878905528	0.010909730776	0.00934055669718	0.178022615251	0.0631783816154	0.00643224699828	0.108091603053	0.0731193100144	0.0927536231884	0.24451565196	0.450239808153	0.144616607072
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000287494010541	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.000299423609552	0.0	0.000916030534351	0.000335409678965	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Exobasidiomycetes	0.00022040996253	0.0	0.000462192641893	0.00105578039768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.0	0.0	0.000554631170272	0.0	0.0	0.000289939112786	0.000523991316715	0.0	0.0018320610687	0.00067081935793	0.00158102766798	0.0157752033522	0.00089928057554	0.00337703615415
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.0828741459114	0.0186234817814	0.0272693658717	0.0130212915714	0.0108350457687	0.0188460423311	0.0216333557901	0.00300171526587	0.00824427480916	0.0128413991375	0.00737812911726	0.00369731328568	0.00299760191847	0.01291219706
k__Fungi;p__Basidiomycota;c__Wallemiomycetes	0.00154286973771	0.00134952766532	0.00184877056757	0.000703853598452	0.000373622267887	0.0362423890983	0.0181899842803	0.0188679245283	0.0274809160305	0.00910397700048	0.0927536231884	0.151096869608	0.0731414868106	0.0854191497815
k__Fungi;p__Basidiomycota;c__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0120747484427	0.0	0.0	0.0	0.0
k__Fungi;p__Chytridiomycota;Other	0.0	0.0	0.0	0.0	0.0	0.00173963467672	0.00269481248596	0.000428816466552	0.0	0.00191662673694	0.0	0.0	0.0	0.0
k__Fungi;p__Chytridiomycota;c__Chytridiomycetes	0.00198368966277	0.00161943319838	0.00323534849325	0.00123174379729	0.000747244535774	0.0118875036242	0.013698630137	0.000428816466552	0.00641221374046	0.0214662194538	0.00764163372859	0.00197190041903	0.0	0.00119189511323
k__Fungi;p__Chytridiomycota;c__unidentified	0.0022040996253	0.0	0.00184877056757	0.000175963399613	0.000186811133944	0.000289939112786	0.0024702447788	0.000857632933105	0.0	0.00215620507906	0.00184453227931	0.000985950209514	0.0	0.000198649185538
k__Fungi;p__Glomeromycota;Other	0.0	0.0	0.000184877056757	0.0	0.0	0.000579878225573	0.00142226214537	0.000214408233276	0.0018320610687	0.0	0.000263504611331	0.0	0.0	0.0
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.0	0.0059379217274	0.00295803290812	0.00105578039768	0.000373622267887	0.00492896491737	0.018713975597	0.00836192109777	0.0360305343511	0.00666027791088	0.00158102766798	0.000739462657136	0.00959232613909	0.00158919348431
k__Fungi;p__Glomeromycota;c__unidentified	0.00022040996253	0.00080971659919	0.000369754113515	0.0	0.0	0.0	0.00703645482446	0.000214408233276	0.000916030534351	0.000143747005271	0.000527009222661	0.000246487552379	0.0	0.000397298371077
k__Fungi;p__Incertae_sedis;c__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00658761528327	0.0	0.0	0.00278108859754
k__Fungi;p__Zygomycota;c__Incertae_sedis	0.00264491955036	0.0029689608637	0.0043446108338	0.0100299137779	0.000747244535774	0.0205856770078	0.016393442623	0.0105060034305	0.0290076335878	0.0137038811691	0.0139657444005	0.00616218880947	0.0089928057554	0.00893921334923
k__Fungi;p__unidentified;c__unidentified	0.00749393872603	0.0566801619433	0.070807912738	0.460848143586	0.0222305249393	0.0249347636996	0.0322628939292	0.0132933104631	0.00977099236641	0.103929084811	0.00579710144928	0.00197190041903	0.00689448441247	0.00456893126738
