Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
Unclassified;Other;Other;Other;Other	0.0125633678642	0.0313090418354	0.0276391199852	0.0188280837586	0.00336260041098	0.155117425341	0.0309154876862	0.0105060034305	0.0427480916031	0.01945376138	0.00500658761528	0.00221838797141	0.00239808153477	0.000993245927692
k__Fungi;Other;Other;Other;Other	0.00749393872603	0.0221322537112	0.0240340173784	0.00563082878761	0.00765925649169	0.00898811249638	0.0389999251441	0.00750428816467	0.0232061068702	0.0307139434595	0.101712779974	0.0268671432093	0.0110911270983	0.090782677791
k__Fungi;p__Ascomycota;Other;Other;Other	0.0138858276394	0.0151147098516	0.0616564984285	0.0121414745733	0.010087801233	0.01768628588	0.0329365970507	0.0152229845626	0.0204580152672	0.044226161955	0.0297760210804	0.0384520581711	0.00629496402878	0.148788239968
k__Fungi;p__Ascomycota;c__Dothideomycetes;Other;Other	0.0119021379766	0.0491228070175	0.0489924200407	0.00897413338026	0.0506258172987	0.00231951290229	0.0263492776405	0.00578902229846	0.0128244274809	0.0177767129851	0.00606060606061	0.00271136307616	0.00209832134293	0.00278108859754
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Incertae_sedis	0.0	0.0	0.000184877056757	0.000175963399613	0.0	0.0	0.0	0.0	0.0	0.0	0.00263504611331	0.000492975104757	0.0	0.000397298371077
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other	0.00374696936302	0.00161943319838	0.000462192641893	0.00158367059652	0.000747244535774	0.000289939112786	0.000299423609552	0.0	0.0	0.000862482031624	0.000527009222661	0.000246487552379	0.000299760191847	0.00238379022646
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00895915678524	0.0	0.000299760191847	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae	0.0	0.0	0.000462192641893	0.0	0.000373622267887	0.00695853870687	0.00875814057938	0.0295883361921	0.0030534351145	0.0262577862961	0.00737812911726	0.00147892531427	0.00329736211031	0.0141040921732
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.00464106594805	0.000643224699828	0.000610687022901	0.00105414470532	0.0118577075099	0.000739462657136	0.00269784172662	0.00456893126738
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.000449135414327	0.0	0.0012213740458	4.79156684236e-05	0.00263504611331	0.00172541286665	0.00719424460432	0.00476758045292
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae	0.00132245977518	0.00404858299595	0.000277315585136	0.00105578039768	0.00354941154493	0.0	0.000149711804776	0.0	0.000610687022901	0.00273119310014	0.0173913043478	0.00665516391422	0.0044964028777	0.0226460071514
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__unidentified	0.00264491955036	0.000539811066127	0.00332778702163	0.00105578039768	0.0	0.0	0.000299423609552	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae	0.0	0.0	0.0	0.0	0.000186811133944	0.0	0.0	0.0	0.0	0.000479156684236	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	0.0202777165528	0.0990553306343	0.0450175633204	0.10892134436	0.0233513917429	0.0237750072485	0.0179654165731	0.0107204116638	0.0140458015267	0.0970771442262	0.00948616600791	0.00862706433325	0.003896882494	0.00993245927692
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__unidentified	0.0	0.0	0.000277315585136	0.000175963399613	0.0	0.0	0.0	0.0	0.0	0.0	0.000527009222661	0.0	0.000299760191847	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.000149711804776	0.000643224699828	0.0	0.000287494010541	0.0	0.000739462657136	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae	0.000661229887591	0.000539811066127	0.00064706969865	0.00369523139187	0.000373622267887	0.000289939112786	0.00217082116925	0.00857632933105	0.000610687022901	9.58313368471e-05	0.00368906455863	0.00542272615233	0.0149880095923	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae	0.00286532951289	0.0167341430499	0.0289332593825	0.0110856941756	0.00168130020549	0.0429109886924	0.0421438730444	0.010077186964	0.024427480916	0.0236703402012	0.0561264822134	0.143455755484	0.0419664268585	0.0866110448947
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other	0.0213797663654	0.0331983805668	0.057866518765	0.00985395037832	0.118625070054	0.0147868947521	0.00441649824089	0.0152229845626	0.00213740458015	0.0133684714902	0.0194993412385	0.00813408922849	0.00119904076739	0.0067540723083
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Corynesporascaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00178784266985
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis	0.0434207626185	0.0369770580297	0.0438158624515	0.0960760161886	0.0356809265832	0.0240649463613	0.0395987723632	0.0180102915952	0.00580152671756	0.0339242932439	0.0316205533597	0.0293320187331	0.00419664268585	0.0166865315852
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae	0.0	0.00134952766532	0.000554631170272	0.000351926799226	0.000560433401831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.00110204981265	0.0	0.0025882787946	0.0	0.000934055669718	0.0	0.000673703121491	0.0	0.0	9.58313368471e-05	0.0131752305665	0.0	0.0	0.0150973381009
