Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Dothidea;s__Dothidea_sp	0.0	0.0	0.0	0.0	0.000186811133944	0.0	0.0	0.0	0.0	0.000479156684236	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;Other;Other	0.00793475865109	0.0429149797571	0.0196894065446	0.0441668133028	0.0112086680366	0.00956799072195	0.00696159892208	0.00407375643225	0.00763358778626	0.0421178725443	0.00368906455863	0.00295785062854	0.00209832134293	0.00238379022646
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.000299423609552	0.000428816466552	0.0	0.0024436990896	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;s__Aureobasidium_pullulans_var._namibiae	0.0	0.000269905533063	0.000369754113515	0.0014077071969	0.0	0.0	7.48559023879e-05	0.0	0.0	0.000143747005271	0.0	0.0	0.0	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium;s__Aureobasidium_pullulans_var._subglaciale	0.0	0.000269905533063	0.0	0.0	0.0	0.0	0.000598847219103	0.000643224699828	0.000916030534351	0.0010062290369	0.0	0.0	0.0	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Hormonema;s__Hormonema_carpetanum	0.00022040996253	0.0	0.000184877056757	0.0	0.0	0.0	7.48559023879e-05	0.0	0.0	4.79156684236e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Selenophoma;s__Selenophoma_mahoniae	0.00308573947542	0.0113360323887	0.00665557404326	0.0142530353686	0.0042966560807	0.00260945201508	0.00419193053372	0.000428816466552	0.000610687022901	0.0200766650695	0.00158102766798	0.00221838797141	0.00089928057554	0.00218514104092
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__Dothioraceae_sp	0.00903680846374	0.0442645074224	0.0181179515622	0.049093788492	0.00784606762563	0.0115975645115	0.00576390448387	0.00514579759863	0.00488549618321	0.0310014374701	0.00421607378129	0.0034508257333	0.00089928057554	0.00377433452523
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__unidentified;s__uncultured_Aureobasidium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000239578342118	0.0	0.0	0.0	0.00119189511323
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__unidentified;g__unidentified;s__Dothideales_sp_GS6N4a	0.0	0.0	0.000277315585136	0.000175963399613	0.0	0.0	0.0	0.0	0.0	0.0	0.000527009222661	0.0	0.000299760191847	0.0
