Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
Unclassified;Other	0.0125633678642	0.0313090418354	0.0276391199852	0.0188280837586	0.00336260041098	0.155117425341	0.0309154876862	0.0105060034305	0.0427480916031	0.01945376138	0.00500658761528	0.00221838797141	0.00239808153477	0.000993245927692
k__Fungi;Other	0.00749393872603	0.0221322537112	0.0240340173784	0.00563082878761	0.00765925649169	0.00898811249638	0.0389999251441	0.00750428816467	0.0232061068702	0.0307139434595	0.101712779974	0.0268671432093	0.0110911270983	0.090782677791
k__Fungi;p__Ascomycota	0.504297994269	0.819973009447	0.802273987798	0.476156959352	0.940967681674	0.535227602204	0.730518751404	0.917667238422	0.702900763359	0.688691902252	0.660606060606	0.543751540547	0.431055155875	0.642232816845
k__Fungi;p__Basidiomycota	0.461097641613	0.0585695006748	0.0623035681272	0.0260425831427	0.0237250140108	0.235720498695	0.104873119245	0.0300171526587	0.147175572519	0.111164350743	0.194466403162	0.415085038206	0.529976019185	0.246324990068
k__Fungi;p__Chytridiomycota	0.00418778928808	0.00161943319838	0.00508411906082	0.0014077071969	0.000934055669718	0.0139170774137	0.0188636874018	0.00171526586621	0.00641221374046	0.0255390512698	0.00948616600791	0.00295785062854	0.0	0.00139054429877
k__Fungi;p__Glomeromycota	0.00022040996253	0.00674763832659	0.00351266407839	0.00105578039768	0.000373622267887	0.00550884314294	0.0271726925668	0.00879073756432	0.0387786259542	0.00680402491615	0.00237154150198	0.000985950209514	0.00959232613909	0.00198649185538
k__Fungi;p__Incertae_sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00658761528327	0.0	0.0	0.00278108859754
k__Fungi;p__Zygomycota	0.00264491955036	0.0029689608637	0.0043446108338	0.0100299137779	0.000747244535774	0.0205856770078	0.016393442623	0.0105060034305	0.0290076335878	0.0137038811691	0.0139657444005	0.00616218880947	0.0089928057554	0.00893921334923
k__Fungi;p__unidentified	0.00749393872603	0.0566801619433	0.070807912738	0.460848143586	0.0222305249393	0.0249347636996	0.0322628939292	0.0132933104631	0.00977099236641	0.103929084811	0.00579710144928	0.00197190041903	0.00689448441247	0.00456893126738
